Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
S Vidyut,03-12-81,Left_Hand,Slow left-arm orthodox,India
S Warrier,,Right_Hand,Right-arm fast-medium,
SA Abbott,29-02-92,Right_Hand,Right-arm fast-medium,New Zealand
SA Asnodkar,29-03-84,Right_Hand,Right-arm offbreak,India
SA Yadav,14-09-90,Right_Hand,Right-arm offbreak,India
Sachin Baby,18-12-88,Left_Hand,Right-arm offbreak,India
Salman Butt,07-10-84,Left_Hand,Right-arm offbreak,Pakistan
Sandeep Sharma,18-05-93,Right_Hand,Right-arm medium,India
SB Bangar,11-10-72,Right_Hand,Right-arm medium-fast,India
SB Jakati,27-11-80,Left_Hand,Slow left-arm orthodox,India
SB Joshi,06-06-70,Left_Hand,Slow left-arm orthodox,India
SB Styris,10-07-75,Right_Hand,Right-arm medium,New Zealand
SB Wagh,09-10-88,Left_Hand,Left-arm medium-fast,India
SC Ganguly,08-07-72,Left_Hand,Right-arm medium,India
SD Chitnis,06-05-87,Right_Hand,Right-arm offbreak,India
SD Lad,,Right_Hand,,
SE Bond,07-06-75,Right_Hand,Right-arm fast,New Zealand
SE Marsh,09-07-83,Left_Hand,Slow left-arm orthodox,Australia
Shahid Afridi,01-03-80,Right_Hand,Legbreak googly,Pakistan
Shakib Al Hasan,24-03-87,Left_Hand,Slow left-arm orthodox,Bangladesh
Shivam Sharma,09-09-93,Right_Hand,Right-arm offbreak,India
Shoaib Ahmed,17-08-90,Right_Hand,Right-arm fast-medium,Pakistan
Shoaib Akhtar,13-08-75,Right_Hand,Right-arm fast,Pakistan
Shoaib Malik,01-02-82,Right_Hand,Right-arm offbreak,Pakistan
SJ Srivastava,22-09-81,Right_Hand,Left-arm fast-medium,India
SK Raina,27-11-86,Left_Hand,Right-arm offbreak,India
SK Trivedi,04-09-82,Right_Hand,Right-arm medium,India
SK Warne,13-09-69,Right_Hand,Legbreak googly,Australia
SL Malinga,28-08-83,Right_Hand,Right-arm fast,Sri Lanka
SM Boland,11-04-89,Right_Hand,Right-arm fast-medium,Australia
SM Harwood,01-03-74,Right_Hand,Right-arm fast-medium,Australia
SM Katich,21-08-75,Left_Hand,Slow left-arm chinaman,Australia
SM Pollock,16-07-73,Right_Hand,Right-arm fast-medium,South Africa
SMSM Senanayake,09-02-85,Right_Hand,Right-arm offbreak,Sri Lanka
SN Khan,27-10-97,Right_Hand,Legbreak,India
SN Thakur,16-10-91,Right_Hand,Right-arm medium,India
Sohail Tanvir,12-12-84,Left_Hand,Left-arm medium-fast,Pakistan
SP Fleming,01-04-73,Left_Hand,NULL,New Zealand
SP Goswami,18-05-89,Left_Hand,NULL,India
SP Jackson,,Right_Hand,,
SP Narine,26-05-88,Left_Hand,Right-arm offbreak,West Indies
SPD Smith,02-06-89,Right_Hand,Legbreak googly,India
SR Tendulkar,24-04-73,Right_Hand,Right-arm offbreak,India
SR Watson,17-06-81,Right_Hand,Right-arm fast-medium,Australia
SS Agarwal,,Right_Hand,Legbreak googly,
SS Iyer,06-12-94,Right_Hand,Legbreak googly,India
SS Mundhe,27-10-88,Right_Hand,Right-arm medium,India
SS Sarkar,15-12-84,Right_Hand,Right-arm medium,India
SS Shaikh,18-01-87,Right_Hand,Right-arm medium,India
SS Tiwary,30-12-89,Left_Hand,NULL,India
ST Jayasuriya,30-06-69,Left_Hand,Slow left-arm orthodox,Sri Lanka
STR Binny,03-06-84,Right_Hand,Right-arm medium,India
Sunny Gupta,27-09-88,Right_Hand,Right-arm offbreak,India
Sunny Singh,18-12-86,Right_Hand,Right-arm medium-fast,India
SV Samson,11-11-94,Right_Hand,NULL,India
SW Billings,15-06-91,Right_Hand,NULL,England
SW Tait,22-02-83,Right_Hand,Right-arm fast,Australia
Swapnil Singh,22-01-91,Right_Hand,Slow left-arm orthodox,India
T Curran,,Right_Hand,Right-arm fast-medium,
T Henderson,01-08-74,Right_Hand,Right-arm fast-medium,South Africa
T Kohli,17-12-88,Right_Hand,Right-arm medium,India
T Mishra,22-12-86,Right_Hand,Right-arm fast-medium,India
T Natarajan,,Left_Hand,Left-arm fast-medium,
T Shamsi,18-02-90,Right_Hand,Slow left-arm chinaman,South Africa
T Taibu,14-05-83,Right_Hand,Right-arm medium,Zimbabwea
T Thushara,01-03-81,Left_Hand,Left-arm fast-medium,Sri Lanka
TA Boult,22-07-89,Right_Hand,Left-arm fast-medium,New Zealand
TD Paine,08-12-84,Right_Hand,Right-arm medium,Australia
Tejas Baroka,,,Legbreak googly,
TG Southee,11-12-88,Right_Hand,Right-arm medium-fast,New Zealand
TL Suman,15-12-83,Right_Hand,Right-arm offbreak,India
TM Dilshan,14-10-76,Right_Hand,Right-arm offbreak,Sri Lanka
TM Head,29-12-93,Left_Hand,Right-arm offbreak,Australia
TM Srivastava,07-11-89,Left_Hand,Right-arm medium,India
TP Sudhindra,24-04-84,Left_Hand,Right-arm fast,India
TR Birt,09-12-81,Left_Hand,Right-arm medium,Australia
TS Mills,,Right_Hand,Left-arm fast,
U Kaul,02-12-87,Left_Hand,NULL,India
UA Birla,17-11-89,Right_Hand,Right-arm medium,India
UBT Chand,26-03-93,Right_Hand,Right-arm offbreak,India
Umar Gul,14-04-84,Right_Hand,Right-arm fast-medium,Pakistan
UT Khawaja,18-12-86,Left_Hand,Right-arm medium,Australia
UT Yadav,25-10-87,Right_Hand,Right-arm fast-medium,India
V Chakravarthy,,Right_Hand,Legbreak,
V Kohli,05-11-88,Right_Hand,Right-arm medium,India
V Pratap Singh,03-05-92,Right_Hand,Right-arm medium,India
V Sehwag,20-10-78,Right_Hand,Right-arm offbreak,India
V Shankar,26-01-91,Right_Hand,Right-arm medium,India
VH Zol,23-11-94,Left_Hand,Right-arm offbreak,India
Vishnu Vinod,,Right_Hand,,
VR Aaron,29-10-89,Right_Hand,Right-arm fast,India
VRV Singh,17-09-84,Right_Hand,Right-arm medium-fast,India
VS Malik,09-05-83,Right_Hand,Right-arm medium,India
VS Yeligati,23-04-85,Right_Hand,Right-arm offbreak,India
VVS Laxman,01-11-74,Right_Hand,Right-arm offbreak,India
VY Mahesh,21-12-87,Right_Hand,Right-arm medium-fast,India
W Jaffer,16-02-78,Right_Hand,Right-arm offbreak,India
WA Mota,20-09-81,Right_Hand,Right-arm medium,India
Washington Sundar,,Left_Hand,Right-arm offbreak,
WD Parnell,30-07-89,Left_Hand,Left-arm medium-fast,South Africa
WP Saha,24-10-84,Right_Hand,NULL,India
WPUJC Vaas,27-01-74,Left_Hand,Left-arm fast-medium,Sri Lanka
X Thalaivan Sargunam,15-05-85,Right_Hand,Right-arm offbreak,India
Y Gnaneswara Rao,25-08-84,Right_Hand,Right-arm medium,India
Y Nagar,06-01-90,Right_Hand,Right-arm offbreak,India
Y Venugopal Rao,26-02-82,Right_Hand,Right-arm offbreak,India
YA Abdulla,17-01-83,Left_Hand,Left-arm fast-medium,India
Yashpal Singh,27-11-81,Right_Hand,Right-arm medium,India
YK Pathan,17-11-82,Right_Hand,Right-arm offbreak,India
Younis Khan,29-11-77,Right_Hand,Right-arm medium,Pakistan
YS Chahal,23-07-90,Right_Hand,Legbreak googly,India
Yuvraj Singh,12-12-81,Left_Hand,Slow left-arm orthodox,India
YV Takawale,05-11-84,Right_Hand,NULL,India
Z Khan,07-10-78,Right_Hand,Left-arm fast-medium,India
